Insulin aspart Sanofi;Diabetes Mellitus;insulin aspart;insulin aspart;A10AB05;sanofi-aventis groupe;Drugs used in diabetes, 
Dafiro HCT;Hypertension;amlodipine besylate / valsartan / hydrochlorothiazide;Amlodipine besylate, valsartan, hydrochlorothiazide;C09DX01;Novartis Europharm Limited;Agents acting on the renin-angiotensin system
Cotellic;Melanoma;cobimetinib;cobimetinib hemifumarate;L01XE38;Roche Registration GmbH;Antineoplastic agents, 
Zerbaxa;Bacterial Infections;ceftolozane / tazobactam;ceftolozane sulfate, tazobactam sodium;J01;Merck Sharp  Dohme Limited;Antibacterials for systemic use, 
Exforge HCT;Hypertension;amlodipine besylate / valsartan / hydrochlorothiazide;Amlodipine besylate, valsartan, hydrochlorothiazide;C09DX01;Novartis Europharm Limited;Agents acting on the renin-angiotensin system
Paliperidone Janssen-Cilag International;Schizophrenia;paliperidone;paliperidone palmitate;N05AX13;Janssen-Cilag International N.V.  ;Psycholeptics, 
Buvidal;Opioid-Related Disorders;buprenorphine;buprenorphine;N07BC01;Camurus AB;Other nervous system drugs, 
Ondexxya;Drug-Related Side Effects and Adverse Reactions;andexanet alfa;andexanet alfa;V03AB;Portola Netherlands B.V.;All other therapeutic products
Taltz;Psoriasis;ixekizumab;ixekizumab;L04AC;Eli Lilly Nederland B.V.;Immunosuppressants
PritorPlus;Hypertension;telmisartan / hydrochlorothiazide;telmisartan, hydrochlorothiazide;C09DA07;Bayer AG;Agents acting on the renin-angiotensin system
Nevanac;Pain, Postoperative, Ophthalmologic Surgical Procedures;nepafenac;nepafenac;S01BC10;Novartis Europharm Limited;Ophthalmologicals, 
Tavlesse;Thrombocytopenia;fostamatinib;Fostamatinib disodium;B02BX;Instituto Grifols S.A.;Other systemic hemostatics
Cayston;Cystic Fibrosis, Respiratory Tract Infections;aztreonam;aztreonam lysine;J01DF01;Gilead Sciences Ireland UC;Antibacterials for systemic use, 
Trizivir;HIV Infections;abacavir (as sulfate) / lamivudine / zidovudine;abacavir (as sulfate), lamivudine, zidovudine;J05AR04;ViiV Healthcare BV;Antivirals for systemic use, 
Stribild;HIV Infections;elvitegravir / cobicistat / emtricitabine / tenofovir disoproxil;elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil fumarate;J05AR09;Gilead Sciences Ireland UC;Antivirals for systemic use, , Antivirals for treatment of HIV infections, combinations
